,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,target
0,46.418234999999996,0.8880588303666667,4.735297,19.53729,65.14840000000001,17.663999999999998,54.73421999999999,799.0,198.2192,0.9438667,177.2311,8.096,169.0223,31.0281,24.74856,C,C,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.25
1,57.232798098979174,-0.2278269324901771,-12.104036026341667,15.256371833044952,118.33000200000001,21.504,45.1224427914777,2153.0,43.845076819591505,-64.0695839743683,4.28418528312722,111.73299999999999,-5.18359939040752,55.20321489879851,5.082451519169751,E,H,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,20.029999
2,39.209385000000005,0.9812400066333333,-23.686873333333335,23.803935000000003,109.465,19.818,49.89083,2809.0,132.7773,-24.78134,202.3619,498.736,197.1969,56.523019999999995,27.72935,D,C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.03
3,47.0506770220704,-0.7509377507796992,31.669756362845565,38.12234273778025,140.3849945,15.744,51.0295356106812,4831.0,-169.974821500522,-10.778356115553699,-162.04845473943502,1468.96,-148.788422711589,38.7784070245036,20.0015728328367,C,D,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,19.929992000000002
4,26.877108022981126,0.34517691246002047,-1.9610153333428835,19.393722121505903,44.726549,15.336000000000002,56.0007706923446,359.0,-38.2934907399771,-24.579328264157702,30.821464608666396,2.719,53.6079244698598,45.96219210600571,8.31950772941208,D,F,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,20.0938
5,35.917225,0.6398988959999999,11.497836999999999,17.93106,127.67,24.084,64.59931999999999,4661.0,63.03225,-118.7475,119.3106,3466.538,139.9988,67.56716999999999,12.0243,B,H,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.68
6,57.919137500000005,-0.4006259578333333,28.12711333333333,41.005655000000004,155.26,13.142,52.31746,5071.0,-24.925420000000003,-3.310871,-74.12826,1286.05,-78.30368,23.90073,36.85545,D,C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21.24
7,58.2037025,0.20193000453333332,34.02709666666667,37.57003,68.6406,16.486,55.32479,929.0,-19.48657,14.171579999999999,-16.05235,5.614,-7.8674100000000005,23.0622,36.10198,B,J,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.4687
8,53.812925,-0.45516022871333334,8.102469000000001,18.061065,210.385,12.738,48.5385,5601.0,-93.45036,9.86731,-118.9743,1256.849,-119.2509,28.0749,26.50248,C,D,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17.89
9,34.6955975,1.4499006591333332,-61.74004,25.10564,183.615,26.259999999999998,60.14979,5785.0,203.8014,-39.03008,289.6018,1957.729,325.9879,64.15455,29.13627,D,A,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,23.83
